CustomerID,Country,ShippingCity,MarketingOptIn,EmailDomain
12395,Belgium,Mechelen,True,telenet.be
12409,Switzerland,Thun,False,cust12409-ag.ch
12415,Australia,Wollongong,False,cust12415-group.com.au
12451,Switzerland,Thun,False,cust12451-handel.ch
12457,Switzerland,Geneva,False,sunrise.ch
12471,Germany,Köln,True,gmx.de
12476,Germany,Köln,False,icloud.com
12481,Germany,Duesseldorf,False,icloud.com
12523,France,Nice,False,free.fr
12540,Spain,Valencia,False,gmail.com
12567,France,Paris,True,outlook.com
12583,France,Poitiers,True,gmail.com
12610,Italy,Modena,False,gmail.com
12619,Germany,Freiburg i.B.,False,t-online.de
12647,Germany,Cologne,False,icloud.com
12681,France,Strasbourg,False,gmail.com
12704,Finland,Tampere,False,gmail.com
12708,Germany,Düsseldorf,True,gmail.com
12748,United Kingdom,York,False,cust12748-trading.co.uk
12775,Netherlands,Nijmegen,False,icloud.com
12783,Portugal,Évora,False,gmail.com
12829,United Kingdom,Shrewsbury,True,btinternet.com
12836,United Kingdom,London,False,btinternet.com
12856,United Kingdom,Edinburgh,False,gmail.com
12901,United Kingdom,Canterbury,False,yahoo.co.uk
12921,United Kingdom,Bangor,False,gmail.com
12924,United Kingdom,Llandudno,False,hotmail.co.uk
12935,United Kingdom,Llandudno,False,sky.com
12951,United Kingdom,Leicester,True,gmail.com
12967,United Kingdom,Glasgow,False,outlook.com
12971,United Kingdom,Newquay,True,hotmail.co.uk
12989,United Kingdom,Shrewsbury,False,gmail.com
13077,United Kingdom,London,False,gmail.com
13078,United Kingdom,Nottingham,False,outlook.com
13081,United Kingdom,Leicester,False,cust13081-group.co.uk
13089,United Kingdom,Stirling,True,cust13089-plc.co.uk
13110,United Kingdom,Liverpool,False,gmail.com
13115,United Kingdom,Canterbury,False,outlook.com
13134,United Kingdom,Belfast,False,yahoo.co.uk
13136,United Kingdom,Nottingham,False,gmail.com
13199,United Kingdom,Birmingham,False,sky.com
13225,United Kingdom,Newcastle upon Tyne,True,sky.com
13247,United Kingdom,Glasgow,False,yahoo.co.uk
