InvoiceNo,InvoiceDate,CustomerID,IsCancelled,InvoiceTotal,CustomerType
536370,2010-12-01 08:45:00,12583,False,855.86,B2C
536381,2010-12-01 09:41:00,15311,False,449.98,B2B
536383,2010-12-01 09:49:00,15311,True,-4.65,B2B
536386,2010-12-01 09:57:00,16029,False,508.2000000000001,B2B
536387,2010-12-01 09:58:00,16029,False,3193.92,B2B
536394,2010-12-01 10:39:00,13408,False,1024.68,B2C
536437,2010-12-01 12:12:00,13694,False,842.12,B2B
536521,2010-12-01 12:48:00,12748,False,4.95,B2B
536543,2010-12-01 14:30:00,17841,True,-3.8,B2B
536557,2010-12-01 14:41:00,17841,False,537.38,B2B
536561,2010-12-01 15:06:00,12921,False,322.40000000000003,B2C
536575,2010-12-01 16:01:00,13777,False,1552.98,B2C
536576,2010-12-01 16:11:00,13777,False,2558.42,B2C
536577,2010-12-01 16:13:00,13777,False,497.0,B2C
536579,2010-12-01 16:16:00,13777,False,315.96000000000004,B2C
536581,2010-12-01 16:19:00,13777,False,330.0,B2C
536583,2010-12-01 16:21:00,13777,False,198.0,B2C
536584,2010-12-01 16:22:00,13777,False,1132.8000000000002,B2C
536586,2010-12-01 16:25:00,18229,False,344.2,B2C
536588,2010-12-01 16:49:00,17069,False,277.05,B2C
536591,2010-12-01 16:57:00,14606,False,198.32,B2C
536599,2010-12-02 07:49:00,15694,False,306.4,B2C
536618,2010-12-02 10:17:00,17017,False,780.12,B2C
536619,2010-12-02 10:18:00,17017,False,97.2,B2C
536622,2010-12-02 10:37:00,12471,True,-17.0,B2C
536623,2010-12-02 10:39:00,15601,False,768.38,B2C
536641,2010-12-02 11:46:00,12748,False,4.25,B2B
536673,2010-12-02 12:11:00,14060,False,339.84,B2C
536681,2010-12-02 12:22:00,17287,False,113.92,B2C
536733,2010-12-02 12:50:00,15738,False,329.65000000000003,B2C
536739,2010-12-02 13:08:00,14180,False,201.75,B2C
536783,2010-12-02 15:19:00,15061,False,4076.48,B2C
536784,2010-12-02 15:20:00,15061,False,2170.9,B2C
536785,2010-12-02 15:22:00,15061,False,2730.96,B2C
536786,2010-12-02 15:23:00,15061,False,324.0,B2C
536788,2010-12-02 15:25:00,15061,False,75.0,B2C
536792,2010-12-02 15:28:00,15061,False,30.0,B2C
536798,2010-12-02 15:55:00,17838,False,717.1600000000001,B2C
536806,2010-12-02 16:42:00,12971,False,45.12,B2C
536817,2010-12-02 17:08:00,14156,True,-7.5,B2B
536827,2010-12-02 17:31:00,13408,True,-20.85,B2C
536831,2010-12-02 17:40:00,16029,False,569.4,B2B
536839,2010-12-02 18:25:00,15093,False,623.73,B2C
536845,2010-12-02 19:18:00,17961,False,127.55,B2C
536848,2010-12-03 09:39:00,13408,False,534.0,B2C
536851,2010-12-03 09:49:00,12967,False,1368.4,B2C
536854,2010-12-03 10:09:00,15240,True,-5.45,B2C
536890,2010-12-03 11:48:00,14156,False,322.2,B2B
